reviewid,artist,genre,album_title,score,pub_year,year,url,dupRevCount
13585,luciano,rock,tribute to the sun,8.3,2009,2009,http://pitchfork.com/reviews/albums/13585-tribute-to-the-sun/,3
13883,"ali farka tour, toumani diabat",pop/r&b,ali and toumani,8.3,2010,2010,http://pitchfork.com/reviews/albums/13883-ali-and-toumani/,3
13999,skullflower,rock,strange keys to untune gods' firmament,8.2,2010,2010,http://pitchfork.com/reviews/albums/13999-strange-keys-to-untune-gods-firmament/,3
14077,loscil,rock,endless falls,7.5,2010,2010,http://pitchfork.com/reviews/albums/14077-endless-falls/,3
14206,my gold mask,rock,a thousand voices ep,5.9,2010,2010,http://pitchfork.com/reviews/albums/14206-a-thousand-voices-ep/,3
14265,"damian marley, nas",rap,distant relatives,6.1,2010,2010,http://pitchfork.com/reviews/albums/14265-distant-relatives/,3
14268,scarface,rap,dopeman music,7.7,2010,2010,http://pitchfork.com/reviews/albums/14268-dopeman-music/,3
14340,how to destroy angels_,rock,how to destroy angels,7.0,2010,2010,http://pitchfork.com/reviews/albums/14340-how-to-destroy-angels/,3
14394,bettye lavette,pop/r&b,interpretations: the british rock songbook,7.3,2010,2010,http://pitchfork.com/reviews/albums/14394-interpretations-the-british-rock-songbook/,3
14436,"bjrk, dirty projectors",rock,mount wittenberg orca,7.7,2010,2010,http://pitchfork.com/reviews/albums/14436-mount-wittenberg-orca/,3
14469,mountain man,rock,made the harbor,7.7,2010,2010,http://pitchfork.com/reviews/albums/14469-made-the-harbor/,3
14611,everything everything,rock,man alive,3.8,2010,2010,http://pitchfork.com/reviews/albums/14611-man-alive/,3
14644,exile,rap,am/fm,5.6,2010,2010,http://pitchfork.com/reviews/albums/14644-amfm/,3
14716,cut chemist,rap,sound of the police,7.8,2010,2010,http://pitchfork.com/reviews/albums/14716-sound-of-the-police/,3
14743,nadja,rock,under the jaguar sun,6.8,2010,2010,http://pitchfork.com/reviews/albums/14743-under-the-jaguar-sun/,3
14812,david sylvian,rock,sleepwalkers,6.0,2010,2010,http://pitchfork.com/reviews/albums/14812-sleepwalkers/,3
15001,lia ices,rock,grown unknown,7.2,2011,2011,http://pitchfork.com/reviews/albums/15001-grown-unknown/,3
15080,hans-joachim roedelius,rock,selbstportrait,7.9,2011,2010,http://pitchfork.com/reviews/albums/15080-selbstportrait-selbstportrait-ii/,3
15133,aurelio,pop/r&b,laru beya,7.8,2011,2011,http://pitchfork.com/reviews/albums/15133-laru-beya/,3
15140,"gil scott-heron, jamie xx",rock,we're new here,7.8,2011,2011,http://pitchfork.com/reviews/albums/15140-were-new-here/,3
15235,belong,rock,common era,5.9,2011,2011,http://pitchfork.com/reviews/albums/15235-common-era/,3
15305,james pants,rap,james pants,6.7,2011,2011,http://pitchfork.com/reviews/albums/15305-james-pants/,3
15439,"d'eon, grimes",rock,darkbloom ep,7.2,2011,2011,http://pitchfork.com/reviews/albums/15439-darkbloom-ep/,3
15610,atari teenage riot,rock,is this hyperreal?,5.1,2011,2011,http://pitchfork.com/reviews/albums/15610-is-this-hyperreal/,3
15734,southern shores,rock,atlantic ep,7.3,2011,2011,http://pitchfork.com/reviews/albums/15734-atlantic-ep/,3
15838,fatoumata diawara,pop/r&b,fatou,7.6,2011,2011,http://pitchfork.com/reviews/albums/15838-fatou/,3
15946,hans-joachim roedelius,rock,wasser im wind,7.6,2011,2011,http://pitchfork.com/reviews/albums/15946-wasser-im-wind/,3
16150,jacaszek,rock,glimmer,7.7,2012,2011,http://pitchfork.com/reviews/albums/16150-glimmer/,3
16193,alog,rock,unemployed,7.9,2012,2011,http://pitchfork.com/reviews/albums/16193-unemployed/,3
16332,david sylvian,rock,a victim of stars: 1982-2012,8.2,2012,2012,http://pitchfork.com/reviews/albums/16332-a-victim-of-stars-1982-2012/,3
17297,how to destroy angels_,rock,an omen ep,6.5,2012,2012,http://pitchfork.com/reviews/albums/17297-an-omen-ep/,3
17317,nadja,rock,dagdrm,7.8,2012,2012,http://pitchfork.com/reviews/albums/17317-dagdrm/,3
17488,alexis taylor,rock,nayim from the halfway line,6.3,2013,2012,http://pitchfork.com/reviews/albums/17488-nayim-from-the-halfway-line/,3
12,abilene,rock,abilene,7.0,2000,2001,http://pitchfork.com/reviews/albums/12-abilene/,2
15,aceyalone,rock,love & hate,6.7,2003,2003,http://pitchfork.com/reviews/albums/15-love-hate/,2
16,aceyalone,rock,hip hop and the world we live in,7.5,2003,2003,http://pitchfork.com/reviews/albums/16-hip-hop-and-the-world-we-live-in/,2
17,aceyalone,rock,accepted eclectic,7.3,2000,2001,http://pitchfork.com/reviews/albums/17-accepted-eclectic/,2
18,aceyalone,rock,magnificent city,3.2,2006,2006,http://pitchfork.com/reviews/albums/18-magnificent-city/,2
47,barry adamson,rock,the king of nothing hill,7.7,2002,2002,http://pitchfork.com/reviews/albums/47-the-king-of-nothing-hill/,2
64,aereogramme,rock,seclusion,6.8,2006,2006,http://pitchfork.com/reviews/albums/64-seclusion/,2
87,aix em klemm,rock,aix em klemm,7.4,2000,2000,http://pitchfork.com/reviews/albums/87-aix-em-klemm/,2
89,mitchell akiyama,rock,hope that lines don't cross,5.0,2001,2001,http://pitchfork.com/reviews/albums/89-hope-that-lines-dont-cross/,2
95,alamaailman vasarat,rock,krmelautakunta,8.1,2003,2003,http://pitchfork.com/reviews/albums/95-kaarmelautakunta/,2
100,the album leaf,rock,one day i'll be on time,5.9,2001,2001,http://pitchfork.com/reviews/albums/100-one-day-ill-be-on-time/,2
101,the album leaf,rock,in a safe place,7.9,2004,2004,http://pitchfork.com/reviews/albums/101-in-a-safe-place/,2
102,the album leaf,rock,seal beach ep,7.6,2005,2005,http://pitchfork.com/reviews/albums/102-seal-beach-ep/,2
110,alkaline trio,rock,from here to infirmary,6.5,2000,2001,http://pitchfork.com/reviews/albums/110-from-here-to-infirmary/,2
115,all natural,rap,second nature,6.8,2000,2001,http://pitchfork.com/reviews/albums/115-second-nature/,2
119,dot allison,pop/r&b,we are science,7.7,2002,2002,http://pitchfork.com/reviews/albums/119-we-are-science/,2
132,alpha,rock,the impossible thrill,3.0,2000,2001,http://pitchfork.com/reviews/albums/132-the-impossible-thrill/,2
143,alva noto,rock,transform,7.4,2001,2001,http://pitchfork.com/reviews/albums/143-transform/,2
164,american steel,rock,jagged thoughts,3.1,2001,2001,http://pitchfork.com/reviews/albums/164-jagged-thoughts/,2
167,amon dl ii,rock,the ua years: 1969-1974,7.9,2003,2003,http://pitchfork.com/reviews/albums/167-the-ua-years-1969-1974/,2
176,anasarca,rock,discography 1994-1997,4.8,2002,2001,http://pitchfork.com/reviews/albums/176-discography-1994-1997/,2
208,anti-pop consortium,rap,antipop vs. matthew shipp,7.2,2003,2003,http://pitchfork.com/reviews/albums/208-antipop-vs-matthew-shipp/,2
209,anti-pop consortium,rap,tragic epilogue,6.5,2000,2000,http://pitchfork.com/reviews/albums/209-tragic-epilogue/,2
210,anti-pop consortium,rap,the ends against the middle ep,7.4,2001,2001,http://pitchfork.com/reviews/albums/210-the-ends-against-the-middle-ep/,2
211,anti-pop consortium,rap,arrhythmia,7.7,2002,2002,http://pitchfork.com/reviews/albums/211-arrhythmia/,2
212,antibalas afrobeat orchestra,pop/r&b,talkatif,6.8,2002,2002,http://pitchfork.com/reviews/albums/212-talkatif/,2
214,antibalas afrobeat orchestra,pop/r&b,who is this america?,8.1,2004,2004,http://pitchfork.com/reviews/albums/214-who-is-this-america/,2
221,apes of wrath,rock,apes of wrath,4.3,2002,2002,http://pitchfork.com/reviews/albums/221-apes-of-wrath/,2
267,arab on radar,rock,the stolen singles,7.1,2003,2003,http://pitchfork.com/reviews/albums/267-the-stolen-singles/,2
284,area,rock,revolution,9.0,2003,2002,http://pitchfork.com/reviews/albums/284-revolution/,2
285,arling and cameron,pop/r&b,we are a&c,2.8,2001,2001,http://pitchfork.com/reviews/albums/285-we-are-ac/,2
292,craig armstrong,rock,as if to nothing,2.2,2002,2002,http://pitchfork.com/reviews/albums/292-as-if-to-nothing/,2
306,asa-chang & junray,rock,tsu gi ne pu,7.0,2003,2003,http://pitchfork.com/reviews/albums/306-tsu-gi-ne-pu/,2
307,asa-chang & junray,rock,jun ray song chang,8.0,2003,2002,http://pitchfork.com/reviews/albums/307-jun-ray-song-chang/,2
